info_id,field_type
collection,info
comments,info
condition,info
date-rec,info
find-date,info
find-place,info
labels,info
material,info
ngr,info
number,info
areablad,measurement
areablal,measurement
areablar,measurement
areabody,measurement
areapoll,measurement
blacon,measurement
bladang,measurement
blaedwid,measurement
blaleng,measurement
blasin,measurement
blathick,measurement
blawid,measurement
bothick,measurement
corbaby,measurement
corbapl,measurement
corfroby,measurement
corfropl,measurement
edcon,measurement
edsin,measurement
gribabl,measurement
gribaby,measurement
gribapl,measurement
grifrobl,measurement
grifroby,measurement
grifropl,measurement
grinside,measurement
gripoled,measurement
lefedwid,measurement
lefthick,measurement
lengmaxt,measurement
lengmaxw,measurement
longside,measurement
lonpoled,measurement
maxleng,measurement
maxthick,measurement
maxwid,measurement
polbabl,measurement
polbaby,measurement
polbapl,measurement
poledwid,measurement
poleng,measurement
polfrobl,measurement
polfroby,measurement
polfropl,measurement
polthick,measurement
polwid,measurement
rebabl,measurement
rebaby,measurement
rebapl,measurement
refrobl,measurement
refroby,measurement
refropl,measurement
ritedwid,measurement
rithick,measurement
topthick,measurement
weight,measurement
