axe_id,task_id,collection,comments,date-rec,find-date,find-place,labels,material,ngr,number,condition,areablad,areablal,areablar,areabody,areapoll,blacon,bladang,blaedwid,blaleng,blasin,blathick,blawid,bothick,corbaby,corbapl,corfroby,corfropl,edcon,edsin,gribabl,gribaby,gribapl,grifrobl,grifroby,grifropl,grinside,gripoled,lefedwid,lefthick,lengmaxt,lengmaxw,longside,lonpoled,maxleng,maxthick,maxwid,polbabl,polbaby,polbapl,poledwid,poleng,polfrobl,polfroby,polfropl,polthick,polwid,rebabl,rebaby,rebapl,refrobl,refroby,refropl,ritedwid,rithick,topthick,weight
10001,96160,Jewry Wall Mus. Leicester,"This piece could easily be described as having its poll missing: however a piece of grinding seals in the flake scars at the poll end, so that it is undoubtedly complete.",19.12.77,"","North End, Exning, Suffolk","5. North End Exning Suffolk
Goodacre Collection N.5
20IL[...] 1964/219",flint,TL 62 65,"10,001",complete,7.5,3.5,4,46.5,1.5,0,85,0,18,2,24,59,16,0,0,2,0,0,3,7.5,18.5,0.25,7.5,19.5,0.25,95,20,1.5,27,58,27,95,35,106,32,60,0.5,6,0.75,1.5,8,0.75,7,0,18,34,,,,,,,2,29,17,280
10002,96161,"Jenny Woll Mus.
Leicester","",19.12.77,1883,"Bottisham Fen, tombs","20 IL 1964/200
GOODACRE COLLECTION N. 4",flint,TL 56,1002,complete,6.5,3.25,3.25,55,150,0,85,0,16,0,20,57,18,0,0,0,0,0,1,6.5,44.5,1.25,6.5,44.5,0.5,110,25,2,24,61,28,110,30,134,34,58,0,4.5,0,1,6,0,1.5,0,11,30,,,,,,,2,26,16,305
10003,96162,"Jewry Wall Mus.
Leicester","",19.12.77,1885,"Herringswell, Suffolk","ARTHUR g. WRIGHT LOCALE N. Herringwell Mildenhall Suff DATE 1885 No. 79.
20 IL 1964/230
GOODACRE COLLECTION N 11",flint,7169,1003,complete,2,1,1,26.5,1,2,70,0,7,0,8,42,7,2,0,0,0,0,6,2,1.5,0,2,2.5,0,0,0,0.5,11,35,7,70,25,86,16,42,0,0,0,0,6,0,0,0,8,26,,,,,,,0,14,9,60
10004,96163,Jewry Wall Mus. Leicester,"",19.12.77,1885,"Barton Hill, Suffolk","BARTON HILL. Suffolk 1885
GOODACRE COLLETION N6
20 IL 1964/221",flint,TL [...] 9065,10004,complete,2.95,1.5,1.25,32.5,0.75,0,70,0,11,0,12,34,14,0,0,0,0,2,9,2.5,5,0,2.25,4,0,65,5,1.5,20,43,61,90,15,108,25,39,0,2,0,0.5,5,0,2,0,7,20,,,,,,,1.5,20,12,110
10005,96164,"Jewry Wall Mus
Leicester","",16.12.77,"","Swaff[...] Fen, Norfolk","GOODACRE COLLECTION N16
Swaff[...] Fen
20 IL 1964/218",flint,4 TF 8109,10005,complete,0.25,0.25,0.25,31.5,0.5,2,75,0,1,0,2,13,10,0,0,0,0,0,6,0.25,9,0,0.25,7,0.25,90,0,3,15,82,66,120,15,128,20,30,0,0,0,0,5,0,0,0,9,19,,,,,,,2,14,10,85
10006,96165,Salisbury Museum,"1. burnt
2. drilled
3. Found by labourer moving earth.",8.11.77,1908,Hurdcott House,HURDCOTT 797 1030,flint,"",10006,complete,4,2,2,33,0.5,0,85,0,12,1,13,44,10,0,0,0,0,0,6,4,8,0,4,6.5,0,45,0,0,13,37,12,90,15,111,19,44,0,0,0,0,4,0,0,0,6,17,0,0,0,0,0,0,0.5,13,9,90
10007,96166,Salisbury Museum,None,10.11.77,"",1/4 mile s of [...] [...] B - C Wilts,"54/60 792
BROADCHALKE",flint,8U 0325,10007,complete,5,2.5,2.5,67,2,0,70,0,13,0,15,58,19,0,0,0,0,0,0,5,57,0.25,5,99.5,0.5,130,35,5,29,72,13,130,35,155,37,58,0,2,0,0.5,9,5,8.5,0,13,32,0,0,0,0,0,0,5,31,15,375
10008,96167,Wells Museum,I.CORBABL: 0.25,11.10.77,"","Thornholme Moor, Yorks","THORNHOLM MOOR
14 71",flint,"",10008,complete,2.5,1.25,1.25,30.5,0.5,2,90,0,9,0,12,39,7,5,0,1.5,0,0,2,1.5,0,0,1.75,2,0,0,0,1.5,12,32,43,85,15,96,18,43,0,0,0,9,5,0,0,0,11,19,0,0,0,0,0,0,1,16,13,90
10009,96168,Plymouth Museum,None,5.10.77,"","foot of Cosdon Beacon, Dartmoor [modern spelling = Cawsand]",1074,flint,SX 63 91,10009,complete,3.75,2,1.75,42.5,2.5,0,80,0,10,0,12,53,9,0,0,0,0,2,0,3.75,13.5,0,3.75,13,0,885,0,1.5,16,44,19,900,35,114,19,55,2,0,0,0.5,9,0,0,0,10,38,0,0,0,0,0,0,1,15,11,135
10010,96169,Truro Museum,"1. plainly an adze blade
2. NGR is for Knill Monument, 50' high obelisk",7.10.77,"","","KNIL STEEPLE
KNILL STEEPLE [SIC]",flint,SW 516 387,10010,complete,4.5,2.25,2.25,76.5,2.25,0,70,0,10,0,11,60,11,0,0,0,0,7,0,4.5,23.5,0,4.5,39.5,0.25,95,0,1,15,81,10,150,45,173,26,60,4.5,15.5,0,0.5,8,4.5,21,0,9,41,0,0,0,0,0,0,2.5,19,15,285
10011,96170,Nottingham Univ. Mus.,None,9.12.77,"",Western Boulevard,"Flint Celt.
Western Boulevard, Nottm.
Purch. from Mr. A. T. Teale",flint,"",10011,complete,5,2.5,2.5,60.5,0.5,1,60,0,13,1,10,49,9,0,0,0,0,0,8,4,2,0,1,2,0,165,5,1,13,80,23,17,15,184,19,50,0,0,0,0,5,0,0,0,5,14,,,,,,,1.5,14,11,170
10012,96171,Nottingham Univ. Mus.,1. poll edge is double faceted - [drawing],9.12.77,"",Middleton Boulevard,"NOTTINGHAM :
MIDDLETON
BOULEVARD",flint,"",10012,complete,4.75,2.5,2.25,53.5,0.25,0,70,0,14,2,14,45,14,0,0,0,0,0,2,4.75,35,0.25,4.75,260,0.25,145,15,1.5,20,60,14,145,15,163,25,45,0,0,0,2.5,3,0,0,0,6,17,,,,,,,1.5,17,12,200
10013,96172,Nottingham Univ. Mus.,"",9.12.77,"","Collingham, Notts.","Flint Ce[...]
Collingha[...]
Purch. fro[...]",flint,8361,10013,complete,13,6.5,6.5,80.5,1.75,0,85,0,26,1,37,74,20,0,0,0,0,0,3,13,64.5,1,13,69,1.75,120,30,3,31,70,48,120,35,149,40,79,0,0,0,2,7,0,0,0,14,37,,,,,,,2,30,20,570
10014,96173,Nottingham Univ. Mus.,"",9.12.77,"","Broxtowe, Notts admin dist",Broxtowe Notts Aug 1938 4054.,flint,SK (?),10014,complete,7.25,3.75,3.5,55.5,1,0,75,0,15,4,17,68,15,0,0,0,0,0,4,7,41.5,0.5,6.5,45,0.25,90,5,2,23,68,15,90,35,114,29,68,0,3,0,1.5,5,0,6,0,12,36,,,,,,,2,23,15,280
10015,96174,Derby Museum,"",14.12.77,1976,"Hartshay Hill, Ripley Derbs",L 257-1977,flint,(?) SK 38 50,10015,complete,4.25,2,2,66.5,0.25,0,70,0,13,2,14,47,8,0,0,0,0,0,7,0.25,0,0,0.25,0.5,0,0,0,0,16,55,56,170,5,182,23,50,0,0,0,1,2,0,0,0,6,8,,,,,,,0,14,14,210
10016,96175,"Jewry Wall Mus.
Leicester","UCH 1 175
Evans 103
Trans Leics. Lit & Pavil […] Soc. 1x, 1886 32. dug Up on Battle Flat, on the property of Mr. Roby. Pl. iii, 5.",16/12/77,1858,"Cliffe Hill, Stanton-under-Barton, Leics","39.1861
Leicester Museum
Cliffe Hill",Flint,SK 47 10,10016,complete,8.25,4.25,4,64,3.75,0,70,0,17,0,12,66,9,0,0,2,0,0,0,8.25,37,1.75,8.25,33.5,2.75,140,40,0.5,13,61,17,140,40,167,19,66,0,5,0,0.5,12,1.25,6.5,0,9,45,,,,,,,0.5,14,10,200
10017,96176,Jewry Wall Mus. Leicester.,1. Edges have been ground only so as to remove sharp irregularities – there is little faceting.,16.12.77,"","","Neolithic Flint Celt. Found in excavating for gas pipes between Lubenham & Market Harborough. (Donor) H. Buttress. 25'14
25'14",flint,SP 71 87,10017,complete,5.5,3,2.5,43.5,3.5,0,75,0,14,0,14,51,10,0,0,0,0,4,2,5.5,8.5,0,5.25,13,0,90,35,1,15,53,14,105,40,130,19,51,0,0,0,1,11,0,0,0,9,43,0,0,0,0,0,0,1.5,14,10,140
10018,96177,"Jewry Wall Mus. 
Leicester","1. CASI 298.   2 miles W. of AZ.
Trans Leic Archit and Archeo. Soc. 1 ,1886, 298 :
'in the corner field where the lane to Blackfordby diverges
from the Over Sale & Ashby turnpike rd. '",19.12.77,c. 1810,"Ashby de la Zouch, Leics","ASHBY WOLDS
LEICS.
8' 1951",flint,SK 53016,10018,complete,24.75,12.5,12.25,102.5,1,0,85,0,43,0,33,76,23,0,0,0,0,0,3,8.5,11,0,9,31,0,140,0,10,30,76,65,160,20,212,45,77,0,0,0,1.5,5,1,2,0,15,29,,,,,,,3,27,23,745
10019,96178,"","","","","","",Flint,SK 5 1,10019,complete,,,,,,2,80,1.25,17,1,15,52,13,0,0,0,0,0,0,6.75,50,1.5,5.25,45,1.25,,30,2.5,21,58,17,,,139,26,52,2.25,7,0,2,7,0.25,6.5,0,10,33,,,,,,,6.5,21,13,220
10020,96179,"Jewry Wall Mus.
Leicester","1.  There are some potential errorsin the grinding figures :
check if the chance arises",19.12.77,"","","Found in [...]                             669'1962
at Tiptoe [Font or Fork]        LEICESTER
Tilton on the Hill 
Leicester
...overman
to PGW... '78",flint,SK 77 04,10020,complete,14.5,6.75,7.75,69.5,2.25,0,90,0,30,1,31,67,20,0,0,0,0,0,2,14.5,66,2,14.5,65,2.25,125,40,3,32,61,40,125,40,158,39,67,0,1,0,1,9,0,0,0,13,37,,,,,,,50,33,21,515
10021,96180,"Jewry Wall Mus., Leicester",1. GRINSIDE left = 60; LONGSIDE left = 95,16.12.77,"","Holywell Fm., Ratby , Leics.","4.IL.1929
Holywell Farm . Ratby
Lent by 
E. E. Brooke",flint,SK 5005,10021,complete,6,3,3,43.5,1.5,0,80,0,15,0,15,56,11,8,0,0,0,5,2,6,7,0,6,8,0,0,0,0.5,15,28,15,100,25,124,18,56,0,0,0,11.5,8,0,0,0,14,33,,,,,,,0.5,14,8,135
10022,96181,"Jewry Wall Mus.
Leicester","1. Found whilst excavating for fence posts
2. I can't tell whether or not the poll id damaged - but no reason
to think that it need be.
3. GRINSIDE left = 75;  LONGSIDE left = 75.",19.12.77,-,"Groby, Leics","112.33
GROBY
LEICS",flint,SK 52 07,1022,complete,2.25,1,1.25,33.5,3.25,0,75,0,8,1,10,39,10,0,0,0,0,0,8,2,7,0,2,8,0.5,30,0,3,15,51,28,75,30,102,26,44,0,3,0,15,14,0.5,1.5,0,23,34,,,,,,,1.5,22,12,140
10023,96182,"Jewry Wall Mus.
Leicester","",19.12.77,"","Kirby Muxloe, Leics","14
‘84
KIRBY MUXLOE",Flint,SK 52 04,10023,complete,5,2.5,2.5,52.5,1,0,85,0,13,1,18,53,15,0,0,0,0,0,2,5,51,0.75,4.75,49,0.25,115,25,6.5,23,52,22,115,25,132,28,54,3.5,5,0,1.5,4,4.5,13.5,0,7,27,,,,,,,5,24,19,250
10024,96183,"Jewry Wall Mus.
Leicester","",19.12.77,"",Grace Dieu,"Grace Dieu
Leicestershire
248.1952
A.735
GRACE DIEU",Flint,"",10024,complete,8,4,4,52,1.25,0,95,0,18,0,24,64,15,0,0,0,0,0,0,8,39,0,8,43,0.25,95,0,2,27,51,27,95,35,109,33,65,0.25,3.5,0,1,5,0,1,0,14,33,,,,,,,2,28,18,300
10027,96184,"Jewry Wall Mus.
Leicester","TLAHS XLVII (1971-2) 67. Found in garden
Found in garden
",19.12.77,"","17 Vernon Crescent, Greenhill, Coalville","COALVILLE
SK 446143
97.1972",Flint,SK 446143,10027,complete,1.5,0.75,0.75,45.5,0.5,0,75,0,6,0,7,34,10,0,0,1.5,0,2,12,1.5,6.5,0,1.5,4.5,0,0,0,0,14,75,46,130,10,149,19,37,1.5,6,0,0,4,1.5,4,0,5,14,,,,,,,0,15,9,115
10028,96185,"Jewry Wall Mus 
Leicester","TLAS XLVII 71.2, 63",19.12.77,"","Beaumont Leys, Leicester","BEAUMONT LEYS
LEICESTER
SK56950723
E/1971/9",Flint,570072,10028,complete,9.5,4.75,4.75,52,3.5,0,90,0,22,0,24,61,16,0,0,0,0,0,2,9.25,37,1.5,9.5,30,2.25,90,35,2.5,24,63,36,90,35,131,32,61,2,1,0,2,12,0,0,0,16,41,,,,,,,2,26,16,300
10029,96186,Derby Museum ,"1. Although no polish, grinding is very smooth
2. Petrology (F. W Shetton): 'Vestigeo of fora minifera of ""sphereo"" are abundant. This is the light grey flint which is generally ascribed to the chalk of Yorkshire or Lincolnshire.'",14.12.77,c.1952,"Rosetand Fm, Scarcliffe, Shivebrook",207-53,Flint,50 67,10029,complete,2.75,1.5,1.5,34.5,1.5,0,75,0,9,0,11,45,12,0,0,0,0,0,0,2.75,33,1.25,2.75,33.5,1.5,85,25,4,19,34,9,85,35,104,23,45,0,0,0,0.5,8,0,0,0,9,27,,,,,,,4,19,12,120
10030,96187,"","",4.1.78,"","Barkhale Came, Brignor, West Sussex","BARKHALE 
CAMP U",Flint,976 126,10030,complete,6,2.75,3.25,37.5,0.5,0,70,0,16,6,11,57,5,0,0,0,0,0,4,0,0,0,1,0,0,65,0,1.5,11,79,16,90,20,106,15,57,0,0,0,9,3,0,0,0,11,23,,,,,,,1.5,11,8,85
10031,96188,Devizes Museum,"",17.11.77,"","Pewsey Hill, Pewsey, Wilts.",Pewsey Hill Dixon [Bequest ?] DM.1825,flint,SU 17 57,10031,complete,6,3,3,140.5,2.5,0,80,0,13,0,18,60,26,0,0.75,0,0,0,0,6,137.5,2,6,139,2.25,225,25,12,41,108,84,225,30,245,52,70,6,15,0,1,9,6,13.5,0,13,39,,,,,,,14,42,26,
